scanned_at_utc,n_curated_gems,n_explorer_gems,pick,best_score,verdict,gems,gem_mentions
2026-08-07 00:21,5,5,MTCH,0.656,pick: MTCH,,
2026-08-07 15:34,5,5,AQB,0.561,pick: AQB,AQB MTCH AMS:AVTX ORCL FIG ATOM CLNN SLNH CNVS POET,
2026-08-07 19:26,5,5,AQB,0.561,pick: AQB,AQB MTCH AMS:AVTX ORCL FIG ATOM CLNN SLNH CNVS POET,
2026-08-09 20:31,5,5,AQB,0.570,pick: AQB,AQB MTCH EONR BAYRY AMS:AVTX ATOM CLNN SLNH CNVS LFVN,
2026-08-09 20:37,5,5,AQB,0.570,pick: AQB,AQB MTCH EONR BAYRY AMS:AVTX ATOM CLNN SLNH CNVS LFVN,
2026-08-10 15:36,5,5,AQB,0.570,pick: AQB,AQB MTCH EONR BAYRY AMS:AVTX ATOM CLNN SLNH CNVS LFVN,AQB:0 MTCH:0 EONR:0 BAYRY:0 AMS:AVTX:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-10 19:27,5,5,AQB,0.570,pick: AQB,AQB MTCH EONR BAYRY AMS:AVTX ATOM CLNN SLNH CNVS LFVN,AQB:0 MTCH:0 EONR:0 BAYRY:0 AMS:AVTX:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-11 15:37,5,5,DOCU,0.592,pick: DOCU,DOCU ATVK CREE BAYRY MTCH ATOM CLNN SLNH CNVS LFVN,DOCU:0 ATVK:0 CREE:0 BAYRY:0 MTCH:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-11 19:32,5,5,DOCU,0.592,pick: DOCU,DOCU ATVK CREE BAYRY MTCH ATOM CLNN SLNH CNVS LFVN,DOCU:0 ATVK:0 CREE:0 BAYRY:0 MTCH:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-12 15:36,5,5,DOCU,0.570,pick: DOCU,DOCU CREE BAYRY SGLY MTCH ATOM CLNN SLNH CNVS LFVN,DOCU:0 CREE:0 BAYRY:0 SGLY:0 MTCH:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-12 19:33,5,5,DOCU,0.570,pick: DOCU,DOCU CREE BAYRY SGLY MTCH ATOM CLNN SLNH CNVS LFVN,DOCU:0 CREE:0 BAYRY:0 SGLY:0 MTCH:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-13 15:37,5,5,PLTXF,0.577,pick: PLTXF,PLTXF SGLY DOCU CREE BABYF ATOM CLNN SLNH CNVS LFVN,PLTXF:0 SGLY:0 DOCU:0 CREE:0 BABYF:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-13 19:32,5,5,PLTXF,0.577,pick: PLTXF,PLTXF SGLY DOCU CREE BABYF ATOM CLNN SLNH CNVS LFVN,PLTXF:0 SGLY:0 DOCU:0 CREE:0 BABYF:0 ATOM:0 CLNN:0 SLNH:0 CNVS:0 LFVN:0
2026-08-14 15:30,5,2,MTCH,0.500,pick: MTCH,MTCH FSJ CRTO SGLY ORSTED.CO NEXT OPAL,MTCH:0 FSJ:0 CRTO:0 SGLY:0 ORSTED.CO:0 NEXT:0 OPAL:0
2026-08-14 19:25,5,2,MTCH,0.500,pick: MTCH,MTCH FSJ CRTO SGLY ORSTED.CO NEXT OPAL,MTCH:0 FSJ:0 CRTO:0 SGLY:0 ORSTED.CO:0 NEXT:0 OPAL:0
2026-08-17 19:05,5,5,PLTXF,0.579,pick: PLTXF,PLTXF ATVK OTLK BABYF MTCH ATOM CLNN CNVS LFVN TEAD,PLTXF:0 ATVK:0 OTLK:0 BABYF:0 MTCH:0 ATOM:0 CLNN:0 CNVS:0 LFVN:0 TEAD:0
2026-08-18 15:06,5,5,PLTXF,0.580,pick: PLTXF,PLTXF OTLK CRTO EONR CREE ATOM CLNN CNVS LFVN TEAD,PLTXF:0 OTLK:0 CRTO:0 EONR:0 CREE:0 ATOM:0 CLNN:0 CNVS:0 LFVN:0 TEAD:0
2026-08-18 19:05,5,5,PLTXF,0.580,pick: PLTXF,PLTXF OTLK CRTO EONR CREE ATOM CLNN CNVS LFVN TEAD,PLTXF:0 OTLK:0 CRTO:0 EONR:0 CREE:0 ATOM:0 CLNN:0 CNVS:0 LFVN:0 TEAD:0
2026-08-19 15:07,5,2,VANI,0.524,pick: VANI,VANI MTCH MEDIF CRTO EONR NEXT OPAL,VANI:0 MTCH:0 MEDIF:0 CRTO:0 EONR:0 NEXT:0 OPAL:0
